3.graph	11334	11	13	4	6	2	2	2	2	0.0010235310	0.0001270771	0	1000	ENSG00000185340
65.graph	11483	11	13	4	6	2	2	2	2	0.0010669231	0.0001308918	0	1000	ENSG00000128346
58.graph	9844	13	15	4	6	2	2	2	2	0.0011038780	0.0001270771	0	1000	ENSG00000141401
29.graph	7657	16	18	4	6	2	2	2	2	0.0012135506	0.0001256466	0	1000	ENSG00000180776
38.graph	525	20	27	5	12	4	4	4	4	0.0020425320	0.0006024837	0	1000	ENSG00000134222
19.graph	7689	29	36	3	10	5	5	5	5	0.0042462349	0.0024230480	0	1000	ENSG00000102606
27.graph	5986	9	10	3	4	2	2	2	2	0.0008614063	0.0000989437	0	1000	ENSG00000110436
73.graph	3568	20	27	5	12	4	4	4	4	0.0019035339	0.0004832745	0	1000	ENSG00000186470
9.graph	11204	8	10	4	6	2	2	2	2	0.0009322166	0.0001344681	0	1000	ENSG00000261221
23.graph	9742	11	15	4	8	3	3	3	3	0.0011973381	0.0002431870	0	1000	ENSG00000172809
38.graph	7761	11	14	3	6	4	4	4	4	0.0012819767	0.0003001690	0	1000	ENSG00000102804
66.graph	17	14	16	4	6	2	2	2	2	0.0010771751	0.0001254082	0	1000	ENSG00000107404
77.graph	4131	18	20	4	6	2	2	2	2	0.0012469292	0.0001270771	0	1000	ENSG00000277149
42.graph	4630	22	28	5	11	4	4	4	4	0.0020511150	0.0005714893	0	1000	ENSG00000183337
3.graph	7917	29	31	4	6	2	2	2	2	0.0016489029	0.0001277924	0	1000	ENSG00000198554
93.graph	191	30	36	6	12	4	4	4	4	0.0023827553	0.0006499290	0	1000	ENSG00000176092
10.graph	9505	19	20	3	4	2	2	2	2	0.0012125969	0.0000970364	0	1000	ENSG00000161714
93.graph	4898	11	13	4	6	2	2	2	2	0.0010349751	0.0001270771	0	1000	ENSG00000102076
98.graph	9492	28	36	7	15	4	4	4	4	0.0025324821	0.0007188320	0	1000	ENSG00000108799
28.graph	7783	26	32	5	11	4	4	4	4	0.0021169186	0.0004858971	0	1000	ENSG00000102606
